Diagnosis,Section,Section_Hint,Esophagus,GE Junction,Stomach,Duodenum,,,,,Default_Sub_Location,Subsection,Subsection_Hint,Conditional_on,Multi_Attribute,Default_Attr,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
Caustic Injury,Zargar Severity Score,,x,,x,,,,,,,,,,,,0 - normal mucosa,1-edema and erythema of mucosa,"2a-superficial/moderate ulcerations, exudates",2b-deep/continuous ulceration,3a-focal/diffuse transmural necrosis,3b-Extensive transmural necrosis,,,,,,
Caustic Injury,Substance Type,,x,,x,,,,,,,,,,,,acid,alkali,oxidizer,alphanum_box,,,,,,,,
Caustic Injury,Time Since Ingestion,,x,,x,,,,,,,,,,,,int_box hours,,,,,,,,,,,
Caustic Injury,Appearance,,x,,x,,,,,,,Type,,,x,,erythema,slough,erosion,ulcer,necrosis,stricture,Bleeding,perforation,fistula,,,
Caustic Injury,Appearance,,x,,x,,,,,,,Circumferential Involvement,,,,,Focal,Less than 50%,More than 50%,Circumferential,,,,,,,,
Caustic Injury,Appearance,,x,,x,,,,,,,Depth Estimate,,,,,mucosal,submucosal,transmural,necrotic,,,,,,,,
Caustic Injury,Appearance,,x,,x,,,,,,,Bleeding,,Subsection(Type=Bleeding),,,oozing,spurting,clot,,,,,,,,,
Caustic Injury,Procedure Intervention,,x,,x,,,,,,,Type,,,,,Balloon Dilation,Bougie Dilation,Stent placed,clip,injection,APC,Feeding Tube Placed,,,,,
Caustic Injury,Procedure Intervention,,x,,x,,,,,,,Result,,,,,Success,Partial,Failure,,,,,,,,,
Caustic Injury,Recommended followup,,x,,x,,,,,,,,,,x,,need for dilation,repeat EGD at int_box days,,,,,,,,,,
Coeliac Disease,Coeliac,,x,,,x,,,,,,,,,,,Suspected,,,,,,,,,,,
Coeliac Disease,Scalloping of Folds,,x,,,x,,,,,,,,,,,Yes,No,Mild,Moderate,Severe,,,,,,,
Coeliac Disease,Loss of Folds,,x,,,x,,,,,,,,,,,Yes,No,Mild,Moderate,Severe,,,,,,,
Coeliac Disease,Mosaic Pattern,,x,,,x,,,,,,,,,,,Yes,No,Mild,Moderate,Severe,,,,,,,
Coeliac Disease,Nodularity,,x,,,x,,,,,,,,,,,Yes,No,,,,,,,,,,
Coeliac Disease,Vascular Transparency,,x,,,x,,,,,,,,,,,Normal,Increased,,,,,,,,,,
Coeliac Disease,Mucosal Atrophy,,x,,,x,,,,,,,,,,,Yes,No,Mild,Moderate,Severe,,,,,,,
Coeliac Disease,Biopsy Taken,Protocol recommends separate containers for D1 and D2,x,,,x,,,,,,D1,4-6 biopsies recommended,,,,int_box bits taken,,,,,,,,,,,
Coeliac Disease,Biopsy Taken,,x,,,x,,,,,,D2,1-2 biopsies recommended,,,,int_box bits taken,,,,,,,,,,,
Coeliac Disease,Biopsy Taken,,x,,,x,,,,,,Separate bottles for D1 and D2 containers ?,,,,,Yes,No,,,,,,,,,,
Coeliac Disease,NBI,"NBI enhances: villous pattern visualization, mosaic pattern, subtle scalloping, vascular enhancement (Images: TBD)",x,,,x,,,,,,Enhanced Mucosal Features,,,,,Absent,Present,,,,,,,,,,
Crohn's Disease,Ulcer Present,,x,,,x,,,,,,,,,,,Yes,No,,,,,,,,,,
Crohn's Disease,Stricture,,x,,,x,,,,,,Present,,,,,Yes,No,,,,,,,,,,
Crohn's Disease,Stricture,,x,,,x,,,,,,Appearance,,Subsection(Present=Yes),,,Fibrotic,Inflammatory,,,,,,,,,,
Crohn's Disease,Stricture,,x,,,x,,,,,,Passable,,Subsection(Present=Yes),,,Yes,No,,,,,,,,,,
Dieulafoy Lesion,Visual Characteristics,,x,x,x,x,,,,,,,,,,,Isolated protruding vessel without ulcer,Active bleeding,Non-bleeding visible vessel,Minimal or no surrounding mucosal defect (<3 mm),Overlying clot adherent to vessel,,,,,,,
Dieulafoy Lesion,Visual Characteristics,,x,x,x,x,,,,,,Bleeding Type,,Section(Visual Characteristics=Active bleeding),,,Spurting,Oozing,None,,,,,,,,,
Dieulafoy Lesion,Morphology,,x,x,x,x,,,,,,Vessel appearance,,,,,Pulsatile,Non-pulsatile,Engorged,Flat-appearing,,,,,,,,
Dieulafoy Lesion,Morphology,,x,x,x,x,,,,,,Surrounding mucosa,,,,,Normal,Mild erythema,Edematous,,,,,,,,,
Dieulafoy Lesion,Intervention,,x,x,x,x,,,,,,Therapy performed,,,x,,None,Injection,Mechanical clip,Thermal,Combination,Other alphanum_box,,,,,,
Dieulafoy Lesion,Intervention,,x,x,x,x,,,,,,Hemostasis status,,,,,Achieved,Partial,Failed,,,,,,,,,
Diverticulum,Location (site-specific),,x,,,,,,,,,Esophagus,,,,,Zenker’s diverticulum (pharyngoesophageal),Mid-esophageal diverticulum,Epiphrenic diverticulum,Posterior wall,Lateral wall,Distance from incisors: int_box cm,,,,,,
Diverticulum,Location (site-specific),,,,,x,,,,,,Duodenum,,,,,Large diverticulum,size > int_box mm,,,,,,,,,,
Diverticulum,Number,,x,,x,x,,,,,,,,,,,Single,2,3,Multiple,Count: int_box,,,,,,,
Diverticulum,Size of Largest diverticulum,,x,,x,x,,,,,,,,,,,Small (<10 mm),Medium (10–30 mm),Large (>30 mm),Measured: int_box mm,,,,,,,,
Diverticulum,Morphology,,x,,x,x,,,,,,,,,x,,Wide-mouthed,Narrow-necked,Pouch-like,Saccular,Trabeculated inner surface,Debris/food retention,Saliva pooling (esophageal),Fluid level present,,,,
Diverticulum,Contents,,x,,x,x,,,,,,,,,x,,Empty,Clear fluid,Frothy secretions,Food debris,Bile-stained fluid,Pills/tablets,Old blood / hematin,Pus,,,,
Diverticulum,Mucosal Appearance Inside Diverticulum,,x,,x,x,,,,,,,,,,,Normal mucosa,Erythematous,Ulcerated,Granular,Suspected tumor/polyp inside,Narrow neck with erosions,,,,,,
Diverticulum,Procedural Notes,,x,,x,x,,,,,,,,,,,Scope enters diverticulum inadvertently,Scope bypasses diverticulum easily,Difficult intubation due to diverticulum,Retained food requiring washing,Distortion of lumen,Obstructive symptoms suspected,,,,,,
Diverticulum,Interventions,,x,,x,x,,,,,,,,,,,None,Lavage / suction clearing debris,Biopsy from mucosa inside or at neck,Clip for bleeding,Marking/tattoo (if suspicious lesion inside),,,,,,,
Diverticulum,Interventions,,x,,x,x,,,,,,Referral for,"Endoscopic therapy (e.g., Zenker's septotomy)",,,,Surgery,Endoscopic therapy,,,,,,,,,,
Duodenal Bulb Deformity,Type,,,,,x,,,,,Duodenal bulb(D1),,,,,,Scarring,Angulation/kinking,Post-ulcer,Infiltration,Post Surgical Changes,Other alphanum_box,,,,,,
Duodenal Bulb Deformity,Morphology of Deformity,,,,,x,,,,,Duodenal bulb(D1),,,,x,,Pseudodiverticulum,Shelf-Like Deformity,Mucosal Bridge,Dilated D1,Other alphanum_box,,,,,,,
Duodenal Bulb Deformity,Luminal Narrowing,,,,,x,,,,,Duodenal bulb(D1),,,,,,None,Mild,Moderate,Severe,Non Traversable,,,,,,,
Duodenal Bulb Deformity,Mucosal descriptors,,,,,x,,,,,Duodenal bulb(D1),,,,x,,Erythema,Edema,Granular,Nodular,Friable,Hemorrhagic,Atrophic,,,,,
Duodenal Polyp,Number,,,,,x,,,,,,,,,,,Single,Multiple (2-5),Numerous (>5),Count: int_box,,,,,,,,
Duodenal Polyp,Size,,,,,x,,,,,,,,,,,<5 mm,5-9 mm,10-19 mm,>20 mm,Measured int_box mm,,,,,,,
Duodenal Polyp,Morphology,,,,,x,,,,,,Paris Classification,,,,,0–I,0–Is,0–Ip,0–IIa,0–IIb,0–IIc,0–III,,,,,
Duodenal Polyp,Surface Features,,,,,x,,,,,,,,,,,Smooth,Lobulated,Erythematous,Pale,Villous/frond-like,Nodular,Ulcerated,Erosion,,,,
Duodenal Polyp,Suspected Histologic Type,,,,,x,,,,,,,,,,,Adenoma,Brunner’s gland hyperplasia,Inflammatory polyp,Serrated polyp,Neuroendocrine tumor (polypoid),Lymphangioma,Other - alphanum_box,,,,,
Duodenal Polyp,Biopsy,,,,,x,,,,,,Taken,,,,,Yes,No,,,,,,,,,,
Duodenal Polyp,Biopsy,,,,,x,,,,,,Count,,Subsection(Taken=Yes),,,int_box,,,,,,,,,,,
Duodenal Polyp,Intervention,,,,,x,,,,,,Performed,,,x,,Cold biopsy,Cold snare polypectomy,Hot snare polypectomy,Tattooing,None,,,,,,,
Duodenal Polyp,Intervention,,,,,x,,,,,,Completeness / Post-removal assessment,,,,,Complete removal,Incomplete removal,Residual tissue suspected,Bleeding controlled,No complications,,,,,,,
Duodenal Polyp,Polyposis Syndrome,,,,,x,,,,,,Diagnosis,,,,,Suspected,Known case,,,,,,,,,,
Duodenal Polyp,Polyposis Syndrome,polyposis_table_800x460.png,,,,x,,,,,,Type,,,,,FAP,Juvenile,Peutz-Jeghers,MAP,Cowden (PTEN),Other alphanum_box,,,,,,
Duodenal Polyp,Polyposis Syndrome,,,,,x,,,,,,Spigelman score,,Subsection(Type=FAP),,,0,I,II,III,IV,,,,,,,
Duodenal Polyp,Polyposis Syndrome,,,,,x,,,,,,Follow-up recommendation,,,,,int_box months,,,,,,,,,,,
Duodenal Polyp,Polyposis Syndrome,,,,,x,,,,,,Genetic testing recommendation,,,,,APC,STK11,,,,,,,,,,
Duodenal Ulcer,Ulcer Location,,,,,x,,,,,,D1,,,x,,anterior wall,posterior wall,superior wall,inferior wall,,,,,,,,
Duodenal Ulcer,Ulcer Location,,,,,x,,,,,,D2,,,x,,ampullary region,medial wall,lateral wall,inferior wall,superior wall,,,,,,,
Duodenal Ulcer,Ulcer Location,,,,,x,,,,,,D3,,,,,D3,,,,,,,,,,,
Duodenal Ulcer,Number,,,,,x,,,,,,,,,,,Single,Multiple,Count: int_box,,,,,,,,,
Duodenal Ulcer,Size of Largest Ulcer,,,,,x,,,,,,,,,,,< 5 mm,5–10 mm,11–20 mm,> 20 mm (large),Measured: int_box mm,,,,,,,
Duodenal Ulcer,Shape / Margins,,,,,x,,,,,,,,,x,,Round / oval,Linear,Geographic,Smooth flat margins,Slightly raised margin,Irregular / undermined margin (atypical),Penetrating / deep crater,,,,,
Duodenal Ulcer,Base,,,,,x,,,,,,,,,x,,Clean base,Fibrinous / white slough,Necrotic base,Granular,Hematin / old blood,,,,,,,
Duodenal Ulcer,Forrest Classification,"if active bleed/ history of bleeding
Gastric_Ulcer_forrest_classification.jpeg",,,,x,,,,,,,,,,,Ia — Spurting,Ib — Oozing,IIa — Visible vessel,IIb — Adherent clot,IIc — Pigmented spot,III — Clean base,,,,,,
Duodenal Ulcer,Associated Findings,,,,,x,,,,,,,,,x,,Pyloric channel narrowing,Bulbar deformity / scarring,Gastric retention / food residue,Edematous folds,Surrounding duodenitis,Periampullary edema,Stricture,Mass-like lesion,,,,
Duodenal Ulcer,Likely Etiology,,,,,x,,,,,,,,,x,,H. pylori related,NSAID / aspirin,Stress-related,Acid hypersecretion (Zollinger–Ellison),Crohn’s,CMV / HSV,Idiopathic,Others: alphanum_box,,,,
Duodenal Ulcer,Biopsy,,,,,x,,,,,,,,,x,,No biopsy (typical duodenal ulcer),Edge biopsy,Base biopsy,H. pylori biopsy from antrum/body,Rapid urease test,,,,,,,
Duodenal Ulcer,Biopsy,,,,,x,,,,,,Count,,,,,,,,,,,,,,,,
Duodenal Ulcer,Hemostasis / Therapeutic Interventions,,,,,x,,,,,,,,,x,,None,Adrenaline injection,APC,Gold probe,hemospray,Hemoclips,OTSC,Combination therapy,Endoscopic suturing,Surgical referral,Others: alphanum_box,
Duodenal Ulcer,Hemostasis / Therapeutic Interventions,,,,,x,,,,,,Volume,,Section(Hemostasis / Therapeutic Interventions=Adrenaline injection),,,int_box ml,,,,,,,,,,,
Duodenal Ulcer,Hemostasis / Therapeutic Interventions,,,,,x,,,,,,Count,,Section(Hemostasis / Therapeutic Interventions=Hemoclips),,,int_box,,,,,,,,,,,
Duodenal Ulcer,Hemostasis / Therapeutic Interventions,,,,,x,,,,,,Outcome,,,,,Complete hemostasis,Partial,Failed,Deferred,,,,,,,,
Duodenal Ulcer,Hemostasis / Therapeutic Interventions,,,,,x,,,,,,Complications,,,x,,None,Immediate bleeding,Perforation suspected,Mucosal tear,Hypoxia / instability,Procedure aborted,,,,,,
Duodenal Varices,Morphology,,,,,x,,,,,,,,,x,,Nodular,Tense / Rounded,Flattened,Tortuous,Clustered,Large sac-like varix,Prominent submucosal channels,,,,,
Duodenal Varices,Size,,,,,x,,,,,,,,,,,Small,Medium,Large,Giant (>2–3 cm),Multiple large varices,,,,,,,
Duodenal Varices,Appearance,,,,,x,,,,,,,,,x,,Red wale marks,Cherry red spots,Hematocystic spots,Diffuse erythema,Surface erosion,Imminent rupture appearance,Nipple sign,,,,,
Duodenal Varices,Bleeding Status,,,,,x,,,,,,,,,x,,No active bleeding,Oozing,Spurting arterial-type bleed,Adherent clot,Stigmata of recent bleed,Old blood in stomach,,,,,,
Duodenal Varices,Intervention Performed,,,,,x,,,,,,,,,,,Glue Injection,Thrombin Injection,Balloon tamponade,Hemospray,None,,,,,,,
Duodenal Varices,Intervention Performed,,,,,x,,,,,,Agent Used,,Section(Intervention Performed=Glue Injection),,,N-butyl-2-cyanoacrylate,2-octyl-cyanoacrylate,Histoacryl,,,,,,,,,
Duodenal Varices,Intervention Performed,,,,,x,,,,,,Dilution,,Section(Intervention Performed=Glue Injection),,,Undiluted,1:1 with Lipiodol,Other ratio int_box:int_box,,,,,,,,,
Duodenal Varices,Intervention Performed,,,,,x,,,,,,Number of Injection Sites,,Section(Intervention Performed=Glue Injection),,,Single,2,3,,,,,,,,,
Duodenal Varices,Intervention Performed,,,,,x,,,,,,Volume Per Injection,,Section(Intervention Performed=Glue Injection),,,<0.5 mL,0.5–0.9 mL,1–1.9 mL,2 mL,,,,,,,,
Duodenal Varices,Intervention Performed,,,,,x,,,,,,Total Volume Delivered,,Section(Intervention Performed=Glue Injection),,,<1 mL,1–1.9 mL,2–2.9 mL,3 mL,,,,,,,,
Duodenal Varices,Intervention Performed,,,,,x,,,,,,Immediate solidification seen,,Section(Intervention Performed=Glue Injection),,,Yes,No,,,,,,,,,,
Duodenal Varices,Intervention Performed,,,,,x,,,,,,Thrombin Source,,Section(Intervention Performed=Thrombin Injection),,,Human thrombin,Bovine thrombin,Recombinant thrombin,,,,,,,,,
Duodenal Varices,Intervention Performed,,,,,x,,,,,,Concentration,,Section(Intervention Performed=Thrombin Injection),,,250 IU/mL,500 IU/mL,Other: int_box IU/mL,,,,,,,,,
Duodenal Varices,Intervention Performed,,,,,x,,,,,,Diluent,,Section(Intervention Performed=Thrombin Injection),,,Normal saline,Manufacturer-provided buffer,,,,,,,,,,
Duodenal Varices,Intervention Performed,,,,,x,,,,,,Post-Intervention Findings,,,x,,Adequate obliteration,Partial treatment,Residual large varices,Treated varix appears hard/solid,No complications,,,,,,,
Duodenopathy,Endoscopic Descriptors,,,,,x,,,,,,Color / Surface,,,x,,Diffuse erythema,Patchy erythema,Pale / atrophic-appearing mucosa,Edematous / swollen mucosa,Dusky / cyanotic-appearing mucosa (congestive),Granular mucosa,Nodularity,,,,,
Duodenopathy,Endoscopic Descriptors,,,,,x,,,,,,Patterns / Vascular / Congestive Features,,,x,,Mosaic / reticular (portal hypertensive pattern),Spotty / punctate red spots,Cherry-red spots (venous congestion / PHD descriptor),Prominent congested mucosal vessels (non-telangiectatic),Patchy haemorrhagic mucosa,,,,,,,
Duodenopathy,Endoscopic Descriptors,,,,,x,,,,,,Erosions / Injury,,,x,,Erosions,Ulcers,Friable mucosa,Contact bleeding,,,,,,,,
Duodenopathy,Endoscopic Descriptors,,,,,x,,,,,,Secretions / Exudates,,,x,,Adherent mucus,Yellow-white exudate,Bile pooling / bile staining,Fibrinous patches,,,,,,,,
Duodenopathy,Endoscopic Descriptors,,,,,x,,,,,,Folds / Contour,,,x,,Thickened folds,Flattened / scalloped folds,Edematous / bulky folds,,,,,,,,,
Duodenopathy,Endoscopic Descriptors,,,,,x,,,,,,Bleeding pattern,,,x,,No bleeding,Diffuse oozing,Focal active bleeding,Adherent clot,,,,,,,,
Duodenopathy,Likely Etiology,"Portal hypertensive duodenopathy - mosaic/reticular pattern, red spots, congestion, cherry-red spots, background portal hypertension
Reactive / chemical duodenitis - bile pooling, bile staining, mucosal edema
NSAID-related duodenopathy - multiple small erosions, clean-based erosive pattern
Stress-related inflammation - diffuse erythema + erosions in critically ill/ICU patients
Celiac-type mucosal injury - scalloped folds, nodularity, villous-appearing blunting
Congestive / venous duodenopathy - dusky mucosa, congested vessels, swollen folds, right heart failure context)
Radiation-related changes - patchy telangiectasia, pallor, friability with prior radiation history
Infective duodenitis - ulcers, exudate, friability; context of fever or immune suppression
Not assigning etiology - purely descriptive reporting",,,,x,,,,,,,,,,,Portal hypertensive duodenopathy,Reactive / chemical duodenitis,NSAID-related duodenopathy,Stress-related inflammation,Celiac-type mucosal injury,Congestive / venous duodenopathy,Radiation-related changes,Infective duodenitis,Not assigning etiology,,,
Duodenopathy,Severity,,,,,x,,,,,,,,,,,Mild,Moderate (erosions or limited oozing),"Severe (diffuse erosions, oozing, marked friability)",,,,,,,,,
Ectopic Sebaceous Glands,Appearance,Ectopic_Sebaceous_Glands_600x650.jpg,x,,x,x,,,,,,,,,,,Yellow / yellowish-white spots,"Small, round, well-defined",Smooth surface,Non-ulcerated,,,,,,,,
Ectopic Sebaceous Glands,Number,,x,,x,x,,,,,,,,,,,Few,Multiple,,,,,,,,,,
Ectopic Sebaceous Glands,Biopsy,if atypical / diagnostic uncertainty,x,,x,x,,,,,,,,,,,Not required (typical appearance),Biopsy taken,,,,,,,,,,
Erosion,Number / Distribution,,x,x,x,x,,,,,,,,,,,Single,Few (2–5),Multiple (>5),Diffuse / scattered,Confluent erosions,,,,,,,
Erosion,Morphology,,x,x,x,x,,,,,,,,,x,,Superficial erosion,Linear erosion,Round/oval erosion,Punctate erosions,Coalescing erosions,,,,,,,
Erosion,Size,,x,x,x,x,,,,,,,,,,,int_box mm,,,,,,,,,,,
Esophageal Polyp,Number,,x,x,,,,,,,,,,,,,Single,Multiple,Count: int_box,,,,,,,,,
Esophageal Polyp,Size,,x,x,,,,,,,,,,,,,<5 mm,5-10 mm,>10 mm,Measured int_box mm,,,,,,,,
Esophageal Polyp,Morphology,,x,x,,,,,,,,Type,,,,,Sessile,Semi-pedunculated,Pedunculated,,,,,,,,,
Esophageal Polyp,Morphology,,x,x,,,,,,,,Surface,,,,,Smooth,Lobulated,Papillary,Eroded,,,,,,,,
Esophageal Polyp,Morphology,,x,x,,,,,,,,Color,,,,,Normal mucosa–colored,Pale,Reddish,Hyperemic,,,,,,,,
Esophageal Polyp,Morphology,,x,x,,,,,,,,Margins,,,,,Well-defined,Ill-defined,,,,,,,,,,
Esophageal Polyp,Vascular / Suspicious Features,,x,x,,,,,,,,,,,x,,Irregular vascular pattern,Spontaneous bleeding,Ulcer on polyp head,Friability,Rapid growth,,,,,,,
Esophageal Polyp,Associated Findings,,x,x,,,,,,,,,,,x,,Surrounding inflammation/esophagitis,Adjacent erosion/ulcer,Multiple papillomatous lesions,,,,,,,,,
Esophageal Polyp,Likely Diagnosis,"Fibrovascular polyp is often long, pedunculated; in cervical esophagus",x,x,,,,,,,,,,,,,Squamous papilloma (Esophageal papilloma),Inflammatory polyp / Inflammatory fibroid polyp,Hyperplastic polyp,Fibrovascular polyp,Neoplastic,,,,,,,
Esophageal Polyp,Biopsy,,x,x,,,,,,,,Taken,,,,,Yes,No,,,,,,,,,,
Esophageal Polyp,Biopsy,,x,x,,,,,,,,Count,,Subsection(Taken=Yes),,,int_box,,,,,,,,,,,
Esophageal Polyp,Intervention,,x,x,,,,,,,,Removed by,,,,,Cold biopsy,Cold snare,Hot snare,,,,,,,,,
Esophageal Polyp,Intervention,,x,x,,,,,,,,Post-intervention bleeding,,,,,None,Minor,Significant,,,,,,,,,
Esophageal Polyp,Polyposis Syndrome,,x,x,,,,,,,,Diagnosis,,,,,Suspected,Known case,,,,,,,,,,
Esophageal Polyp,Polyposis Syndrome,polyposis_table_800x460.png,x,x,,,,,,,,Type,,,,,FAP,Juvenile,Peutz-Jeghers,MAP,Cowden (PTEN),Other alphanum_box,,,,,,
Esophageal Polyp,Polyposis Syndrome,,x,x,,,,,,,,Spigelman score,,Subsection(Type=FAP),,,0,I,II,III,IV,,,,,,,
Esophageal Polyp,Polyposis Syndrome,,x,x,,,,,,,,Follow-up recommendation,,,,,int_box months,,,,,,,,,,,
Esophageal Polyp,Polyposis Syndrome,,x,x,,,,,,,,Genetic testing recommendation,,,,,APC,STK11,,,,,,,,,,
Esophageal Ulcer,Number of Ulcers,,x,x,,,,,,,,,,,,,Single,2,3,>3,,,,,,,,
Esophageal Ulcer,Distance from incisors,,x,x,,,,,,,,,,,,,int_box cm,,,,,,,,,,,
Esophageal Ulcer,Approximate Size,,x,x,,,,,,,,,,,,,Small (< 5 mm),Moderate (5–10 mm),Large (> 10 mm),Measured: int_box mm,,,,,,,,
Esophageal Ulcer,Shape / Margins,,x,x,,,,,,,,,Biopsy Recommended for Raised / Irregular to rule out malignancy or Infection,,x,,Round / oval,Linear / slit-like,Irregular / geographic,Circumferential,Raised or rolled edges (suspicious),Flat / smooth edges (benign-appearing),,,,,,
